entity:CHM13_SGDP_sample_id	sample_accession	run_accession	fastq1	fastq2	sex	illumina_sample_id
simons_data_sample_122	SAMEA3302654	ERR1347734				
simons_data_sample_123	SAMEA3302856	ERR1347733				
simons_data_sample_124	SAMEA3302670	ERR1347689				
simons_data_sample_125	SAMEA3302720	ERR1347690				
simons_data_sample_126	SAMEA3302859	ERR1347691				
simons_data_sample_127	SAMEA3302826	ERR1347692				
simons_data_sample_128	SAMEA3302792	ERR1347694				
simons_data_sample_129	SAMEA3302745	ERR1419198				
simons_data_sample_130	SAMEA3302729	ERR1419197				
simons_data_sample_131	SAMEA3302829	ERR1395559				
simons_data_sample_132	SAMEA3302709	ERR1395558				
simons_data_sample_134	SAMEA3302896	ERR1395590				
simons_data_sample_135	SAMEA3302759	ERR1395554				
simons_data_sample_136	SAMEA3302861	ERR1395553				
simons_data_sample_137	SAMEA3302691	ERR1395548				
simons_data_sample_138	SAMEA3302655	ERR1419186				
simons_data_sample_139	SAMEA3302784	ERR1395547				
simons_data_sample_140	SAMEA3302874	ERR1419187				
simons_data_sample_141	SAMEA3302725	ERR1395549				
simons_data_sample_142	SAMEA3302722	ERR1419188				
simons_data_sample_143	SAMEA3302778	ERR1347709				
simons_data_sample_144	SAMEA3302806	ERR1347707				
simons_data_sample_145	SAMEA3302889	ERR1347708				
simons_data_sample_146	SAMEA3302660	ERR1347706				
simons_data_sample_147	SAMEA3302911	ERR1347712				
simons_data_sample_149	SAMEA3302692	ERR1395610				
simons_data_sample_150	SAMEA3302714	ERR1395609				
simons_data_sample_151	SAMEA3302633	ERR1395608				
simons_data_sample_152	SAMEA3302705	ERR1395620				
simons_data_sample_153	SAMEA3302699	ERR1395575				
simons_data_sample_154	SAMEA3302675	ERR1347659				
simons_data_sample_155	SAMEA3302753	ERR1419200				
simons_data_sample_156	SAMEA3302810	ERR1347660				
simons_data_sample_157	SAMEA3302883	ERR1419176				
simons_data_sample_158	SAMEA3302696	ERR1395551				
simons_data_sample_159	SAMEA3302742	ERR1395550				
simons_data_sample_160	SAMEA3302793	ERR1347673				
simons_data_sample_161	SAMEA3302671	ERR1347702				
simons_data_sample_162	SAMEA3302648	ERR1347697				
simons_data_sample_163	SAMEA3302643	ERR1347701				
simons_data_sample_164	SAMEA3302769	ERR1395571				
simons_data_sample_165	SAMEA3302836	ERR1419166				
simons_data_sample_166	SAMEA3302897	ERR1419167				
simons_data_sample_167	SAMEA3302835	ERR1419179				
simons_data_sample_168	SAMEA3302845	ERR1419163				
simons_data_sample_169	SAMEA3302662	ERR1419164				
simons_data_sample_170	SAMEA3302904	ERR1419165				
simons_data_sample_171	SAMEA3302888	ERR1347719				
simons_data_sample_172	SAMEA3302746	ERR1347718				
simons_data_sample_173	SAMEA3302626	ERR1347717				
simons_data_sample_174	SAMEA3302727	ERR1347714				
simons_data_sample_175	SAMEA3302832	ERR1347713				
simons_data_sample_176	SAMEA3302779	ERR1419139				
simons_data_sample_177	SAMEA3302710	ERR1419099				
simons_data_sample_178	SAMEA3302841	ERR1419100				
simons_data_sample_179	SAMEA3302728	ERR1419098				
simons_data_sample_180	SAMEA3302855	ERR1625860				
simons_data_sample_181	SAMEA3302882	ERR1419104				
simons_data_sample_182	SAMEA3302669	ERR1419101				
simons_data_sample_183	SAMEA3302828	ERR1419102				
simons_data_sample_184	SAMEA3302716	ERR1419105				
simons_data_sample_185	SAMEA3302620	ERR1419106				
simons_data_sample_186	SAMEA3302827	ERR1395573				
simons_data_sample_187	SAMEA3302646	ERR1419157				
simons_data_sample_188	SAMEA3302825	ERR1419156				
simons_data_sample_189	SAMEA3302866	ERR1419155				
simons_data_sample_190	SAMEA3302790	ERR1419154				
simons_data_sample_191	SAMEA3302880	ERR1419153				
simons_data_sample_192	SAMEA3302870	ERR1419152				
simons_data_sample_193	SAMEA3302689	ERR1419151				
simons_data_sample_194	SAMEA3302816	ERR1419150				
simons_data_sample_195	SAMEA3302632	ERR1419171				
simons_data_sample_196	SAMEA3302865	ERR1419097				
simons_data_sample_197	SAMEA3302892	ERR1419095				
simons_data_sample_198	SAMEA3302682	ERR1419096				
simons_data_sample_199	SAMEA3302824	ERR1419131				
simons_data_sample_200	SAMEA3302813	ERR1419130				
simons_data_sample_201	SAMEA3302639	ERR1419129				
simons_data_sample_202	SAMEA3302755	ERR1419190				
simons_data_sample_203	SAMEA3302667	ERR1419117				
simons_data_sample_204	SAMEA3302846	ERR1419116				
simons_data_sample_205	SAMEA3302621	ERR1419111				
simons_data_sample_206	SAMEA3302771	ERR1419115				
simons_data_sample_207	SAMEA3302867	ERR1625861				
simons_data_sample_208	SAMEA3302804	ERR1419113				
simons_data_sample_209	SAMEA3302652	ERR1395567				
simons_data_sample_210	SAMEA3302726	ERR1347685				
simons_data_sample_211	SAMEA3302878	ERR1347681				
simons_data_sample_212	SAMEA3302737	ERR1347680				
simons_data_sample_213	SAMEA3302704	ERR1347727				
simons_data_sample_214	SAMEA3302817	ERR1347722				
simons_data_sample_215	SAMEA3302849	ERR1347723				
simons_data_sample_216	SAMEA3302721	ERR1347728				
simons_data_sample_217	SAMEA3302786	ERR1419158				
simons_data_sample_218	SAMEA3302815	ERR1419159				
simons_data_sample_219	SAMEA3302758	ERR1419160				
simons_data_sample_220	SAMEA3302785	ERR1419123				
simons_data_sample_221	SAMEA3302770	ERR1419124				
simons_data_sample_222	SAMEA3302906	ERR1419125				
simons_data_sample_223	SAMEA3302616	ERR1419126				
simons_data_sample_224	SAMEA3302890	ERR1419120				
simons_data_sample_225	SAMEA3302903	ERR1419121				
simons_data_sample_226	SAMEA3302782	ERR1419122				
simons_data_sample_227	SAMEA3302777	ERR1419127				
simons_data_sample_228	SAMEA3302713	ERR1419128				
simons_data_sample_229	SAMEA3302677	ERR1419112				
simons_data_sample_230	SAMEA3302909	ERR1347739				
simons_data_sample_231	SAMEA3302674	ERR1419118				
simons_data_sample_232	SAMEA3302871	ERR1395605				
simons_data_sample_233	SAMEA3302822	ERR1419119				
simons_data_sample_234	SAMEA3302615	ERR1347664				
simons_data_sample_235	SAMEA3302627	ERR1419148				
simons_data_sample_236	SAMEA3302665	ERR1419149				
simons_data_sample_237	SAMEA3302858	ERR1347737				
simons_data_sample_238	SAMEA3302622	ERR1347736				
simons_data_sample_239	SAMEA3302787	ERR1347731				
simons_data_sample_240	SAMEA3302630	ERR1347732				
simons_data_sample_241	SAMEA3302864	ERR1347687				
simons_data_sample_242	SAMEA3302818	ERR1347688				
simons_data_sample_243	SAMEA3302772	ERR1347693				
simons_data_sample_244	SAMEA3302611	ERR1419178				
simons_data_sample_245	SAMEA3302791	ERR1419162				
simons_data_sample_246	SAMEA3302657	ERR1347710				
simons_data_sample_247	SAMEA3302802	ERR1347705				
simons_data_sample_248	SAMEA3302739	ERR1347704				
simons_data_sample_249	SAMEA3302700	ERR1347711				
simons_data_sample_250	SAMEA3302684	ERR1419170				
simons_data_sample_251	SAMEA3302685	ERR1419169				
simons_data_sample_252	SAMEA3302766	ERR1419168				
simons_data_sample_253	SAMEA3302893	ERR1419138				
simons_data_sample_254	SAMEA3302653	ERR1419137				
simons_data_sample_255	SAMEA3302731	ERR1419134				
simons_data_sample_256	SAMEA3302756	ERR1419136				
simons_data_sample_257	SAMEA3302754	ERR1419135				
simons_data_sample_258	SAMEA3302798	ERR1419133				
simons_data_sample_259	SAMEA3302823	ERR1419132				
simons_data_sample_260	SAMEA3302900	ERR1419108				
simons_data_sample_261	SAMEA3302738	ERR1419107				
simons_data_sample_262	SAMEA3302830	ERR1419109				
simons_data_sample_263	SAMEA3302761	ERR1419144				
simons_data_sample_264	SAMEA3302850	ERR1419145				
simons_data_sample_265	SAMEA3302840	ERR1625857				
simons_data_sample_266	SAMEA3302749	ERR1419143				
simons_data_sample_267	SAMEA3302695	ERR1419141				
simons_data_sample_268	SAMEA3302795	ERR1419142				
simons_data_sample_269	SAMEA3302869	ERR1419140				
simons_data_sample_270	SAMEA3302743	ERR1419146				
simons_data_sample_271	SAMEA3302614	ERR1419147				
simons_data_sample_272	SAMEA3302706	ERR1347658				
simons_data_sample_273	SAMEA3302776	ERR1419094				
simons_data_sample_274	SAMEA3302659	ERR1419093				
simons_data_sample_275	SAMEA3302656	ERR1419088				
simons_data_sample_276	SAMEA3302636	ERR1419089				
simons_data_sample_277	SAMEA3302635	ERR1419091				
simons_data_sample_278	SAMEA3302619	ERR1419090				
simons_data_sample_279	SAMEA3302673	ERR1419161				
simons_data_sample_293	SAMEA3302851	ERR1395616				
simons_data_sample_295	SAMEA3302875	ERR1395569				
simons_data_sample_296	SAMEA3302765	ERR1425293				
simons_data_sample_297	SAMEA3302625	ERR1395617				
simons_data_sample_304	SAMEA3449879	ERR1395565				
simons_data_sample_305	SAMEA3449877	ERR1419110				
simons_data_sample_306	SAMEA3449876	ERR1419092				
