sample_accession	illumina_sample_id	entity:CHM13_SGDP_sample_id
SAMEA3302788	LP6005519-DNA_F04	simons_data_sample_105
SAMEA3302854	LP6005442-DNA_E11	simons_data_sample_106
SAMEA3302707	LP6005442-DNA_E10	simons_data_sample_107
SAMEA3302781	LP6005442-DNA_E12	simons_data_sample_108
SAMEA3302799	LP6005592-DNA_A04	simons_data_sample_110
SAMEA3302651	LP6005592-DNA_A02	simons_data_sample_111
SAMEA3302697	SS6004479	simons_data_sample_112
SAMEA3302876	SS6004474	simons_data_sample_113
SAMEA3302730	SS6004475	simons_data_sample_114
SAMEA3302902	SS6004476	simons_data_sample_115
SAMEA3302681	SS6004477	simons_data_sample_116
SAMEA3302736	SS6004470	simons_data_sample_117
SAMEA3302833	SS6004471	simons_data_sample_118
SAMEA3302650	SS6004472	simons_data_sample_119
SAMEA3302894	SS6004473	simons_data_sample_120
SAMEA3302623	LP6005443-DNA_G05	simons_data_sample_121
SAMEA3302654	LP6005443-DNA_G04	simons_data_sample_122
SAMEA3302856	LP6005443-DNA_G03	simons_data_sample_123
SAMEA3302670	LP6005443-DNA_B03	simons_data_sample_124
SAMEA3302720	LP6005443-DNA_B04	simons_data_sample_125
SAMEA3302859	LP6005443-DNA_B06	simons_data_sample_126
SAMEA3302826	LP6005443-DNA_B07	simons_data_sample_127
SAMEA3302792	LP6005443-DNA_B09	simons_data_sample_128
SAMEA3302745	LP6005442-DNA_E07	simons_data_sample_129
SAMEA3302729	LP6005442-DNA_E04	simons_data_sample_130
SAMEA3302829	LP6005519-DNA_G03	simons_data_sample_131
SAMEA3302709	LP6005519-DNA_G02	simons_data_sample_132
SAMEA3302896	LP6005677-DNA_F01	simons_data_sample_134
SAMEA3302759	LP6005519-DNA_E06	simons_data_sample_135
SAMEA3302861	LP6005519-DNA_E05	simons_data_sample_136
SAMEA3302691	LP6005519-DNA_D03	simons_data_sample_137
SAMEA3302655	LP6005442-DNA_C02	simons_data_sample_138
SAMEA3302784	LP6005519-DNA_D01	simons_data_sample_139
SAMEA3302874	LP6005442-DNA_C04	simons_data_sample_140
SAMEA3302725	LP6005519-DNA_D04	simons_data_sample_141
SAMEA3302722	LP6005442-DNA_C07	simons_data_sample_142
SAMEA3302778	LP6005443-DNA_D06	simons_data_sample_143
SAMEA3302806	LP6005443-DNA_D04	simons_data_sample_144
SAMEA3302889	LP6005443-DNA_D05	simons_data_sample_145
SAMEA3302660	LP6005443-DNA_D03	simons_data_sample_146
SAMEA3302911	LP6005443-DNA_D09	simons_data_sample_147
SAMEA3302692	LP6005519-DNA_A06	simons_data_sample_149
SAMEA3302714	LP6005519-DNA_A05	simons_data_sample_150
SAMEA3302633	LP6005519-DNA_A04	simons_data_sample_151
SAMEA3302705	LP6005592-DNA_E01	simons_data_sample_152
SAMEA3302699	LP6005592-DNA_E02	simons_data_sample_153
SAMEA3302675	LP6005442-DNA_F04	simons_data_sample_154
SAMEA3302753	LP6005442-DNA_F02	simons_data_sample_155
SAMEA3302810	LP6005442-DNA_F09	simons_data_sample_156
SAMEA3302883	LP6005442-DNA_A11	simons_data_sample_157
SAMEA3302696	LP6005519-DNA_D06	simons_data_sample_158
SAMEA3302742	LP6005519-DNA_D05	simons_data_sample_159
SAMEA3302793	LP6005442-DNA_H01	simons_data_sample_160
SAMEA3302671	LP6005443-DNA_C08	simons_data_sample_161
SAMEA3302648	LP6005443-DNA_C02	simons_data_sample_162
SAMEA3302643	LP6005443-DNA_C07	simons_data_sample_163
SAMEA3302769	LP6005592-DNA_C03	simons_data_sample_164
SAMEA3302836	LP6005441-DNA_H08	simons_data_sample_165
SAMEA3302897	LP6005441-DNA_H09	simons_data_sample_166
SAMEA3302835	LP6005442-DNA_B02	simons_data_sample_167
SAMEA3302845	LP6005441-DNA_H05	simons_data_sample_168
SAMEA3302662	LP6005441-DNA_H06	simons_data_sample_169
SAMEA3302904	LP6005441-DNA_H07	simons_data_sample_170
SAMEA3302888	LP6005443-DNA_E09	simons_data_sample_171
SAMEA3302746	LP6005443-DNA_E08	simons_data_sample_172
SAMEA3302626	LP6005443-DNA_E07	simons_data_sample_173
SAMEA3302727	LP6005443-DNA_E02	simons_data_sample_174
SAMEA3302832	LP6005443-DNA_E01	simons_data_sample_175
SAMEA3302779	LP6005441-DNA_E10	simons_data_sample_176
SAMEA3302710	LP6005441-DNA_B02	simons_data_sample_177
SAMEA3302841	LP6005441-DNA_B03	simons_data_sample_178
SAMEA3302728	LP6005441-DNA_B01	simons_data_sample_179
SAMEA3302855	LP6005441-DNA_B06	simons_data_sample_180
SAMEA3302882	LP6005441-DNA_B07	simons_data_sample_181
SAMEA3302669	LP6005441-DNA_B04	simons_data_sample_182
SAMEA3302828	LP6005441-DNA_B05	simons_data_sample_183
SAMEA3302716	LP6005441-DNA_B08	simons_data_sample_184
SAMEA3302620	LP6005441-DNA_B09	simons_data_sample_185
SAMEA3302827	LP6005592-DNA_D03	simons_data_sample_186
SAMEA3302646	LP6005441-DNA_G09	simons_data_sample_187
SAMEA3302825	LP6005441-DNA_G08	simons_data_sample_188
SAMEA3302866	LP6005441-DNA_G07	simons_data_sample_189
SAMEA3302790	LP6005441-DNA_G06	simons_data_sample_190
SAMEA3302880	LP6005441-DNA_G05	simons_data_sample_191
SAMEA3302870	LP6005441-DNA_G04	simons_data_sample_192
