Sequencing_Panel	Sample_ID_Illumina	Sample_ID_Collaborator	Sample_ID_SGDP	Embargo_level	Sex	Population_ID	Region	Country
C	LP6005441-DNA_G08	HGDP01253	S_Mozabite-1	X	XY	Mozabite	Africa	Algeria
C	LP6005441-DNA_H08	HGDP01274	S_Mozabite-2	X	XX	Mozabite	Africa	Algeria
C	LP6005619-DNA_B01	SAH31	S_Saharawi-1	X	XY	Saharawi	Africa	Western Sahara (Morocco)
C	LP6005619-DNA_C01	SAH41	S_Saharawi-2	X	XY	Saharawi	Africa	Western Sahara (Morocco)
C	LP6005442-DNA_D09	Ayodo_81S	S_Somali-1	X	XX	Somali	Africa	Kenya
C	LP6005442-DNA_B02	HGDP00928	S_Yoruba-1	X	XX	Yoruba	Africa	Nigeria
C	LP6005442-DNA_A02	HGDP00932	S_Yoruba-2	X	XY	Yoruba	Africa	Nigeria
C	LP6005519-DNA_D01	TGBS21	S_Chane-1	X	XY	Chane	America	Argentina
C	LP6005442-DNA_H06	NAD93	S_Chipewyan-1	Y	XX	Chipewyan	America	Canada
C	LP6005443-DNA_F05	NAD59	S_Chipewyan-2	Y	XY	Chipewyan	America	Canada
C	LP6005442-DNA_A07	Cree5	S_Cree-1	Y	XY	Cree	America	Canada
C	LP6005442-DNA_B07	Cree6	S_Cree-2	Y	XX	Cree	America	Canada
C	LP6005441-DNA_G06	HGDP01012	S_Karitiana-1	X	XY	Karitiana	America	Brazil
C	LP6005441-DNA_H06	HGDP01018	S_Karitiana-2	X	XX	Karitiana	America	Brazil
C	LP6005441-DNA_G07	HGDP00855	S_Mayan-1	X	XX	Mayan	America	Mexico
C	LP6005441-DNA_H07	HGDP00857	S_Mayan-2	X	XX	Mayan	America	Mexico
C	LP6005443-DNA_E11	mixe0002	S_Mixe-2	X	XX	Mixe	America	Mexico
C	LP6005443-DNA_F11	mixe0042	S_Mixe-3	X	XX	Mixe	America	Mexico
C	LP6005443-DNA_G11	mixa0099	S_Mixtec-1	X	XY	Mixtec	America	Mexico
C	LP6005443-DNA_H11	mixa0105	S_Mixtec-2	X	XX	Mixtec	America	Mexico
C	LP6005519-DNA_A03	Mex02	S_Nahua-1	Y	XY	Nahua	America	Mexico
C	LP6005519-DNA_B03	Mex20	S_Nahua-2	Y	XY	Nahua	America	Mexico
C	LP6005441-DNA_A04	HGDP00702	S_Piapoco-1	X	XX	Piapoco	America	Colombia
C	LP6005441-DNA_B04	HGDP00706	S_Piapoco-2	X	XX	Piapoco	America	Colombia
C	LP6005441-DNA_E10	HGDP01047	S_Pima-1	X	XY	Pima	America	Mexico
C	LP6005441-DNA_F10	HGDP01044	S_Pima-2	X	XX	Pima	America	Mexico
C	LP6005677-DNA_F01	NA11201	S_Quechua-1	X	XX	Quechua	America	Peru
C	LP6005677-DNA_E01	NA11200	S_Quechua-2	X	XY	Quechua	America	Peru
C	LP6005519-DNA_G02	Peru60	S_Quechua-3	X	XX	Quechua	America	Peru
C	LP6005441-DNA_A12	HGDP00846	S_Surui-1	X	XX	Surui	America	Brazil
C	LP6005441-DNA_B12	HGDP00852	S_Surui-2	X	XX	Surui	America	Brazil
C	LP6005443-DNA_A12	zapo0098	S_Zapotec-1	X	XY	Zapotec	America	Mexico
C	LP6005677-DNA_D01	zapo0099	S_Zapotec-2	X	XY	Zapotec	America	Mexico
C	LP6005443-DNA_A03	Ale22	S_Aleut-1	X	XY	Aleut	CentralAsiaSiberia	Russia
C	LP6005443-DNA_H02	Ale20	S_Aleut-2	X	XX	Aleut	CentralAsiaSiberia	Russia
C	LP6005442-DNA_F02	altai363p	S_Altaian-1	X	XY	Altaian	CentralAsiaSiberia	Russia
C	LP6005443-DNA_C03	Sir19	S_Chukchi-1	X	XY	Chukchi	CentralAsiaSiberia	Russia
C	LP6005443-DNA_D03	Esk29	S_Eskimo_Chaplin-1	X	XY	Eskimo_Chaplin	CentralAsiaSiberia	Russia
C	LP6005443-DNA_F03	Nesk_22	S_Eskimo_Naukan-1	X	XX	Eskimo_Naukan	CentralAsiaSiberia	Russia
C	LP6005443-DNA_G03	Nesk_25	S_Eskimo_Naukan-2	X	XX	Eskimo_Naukan	CentralAsiaSiberia	Russia
C	LP6005443-DNA_B03	Sir26	S_Eskimo_Sireniki-1	X	XY	Eskimo_Sireniki	CentralAsiaSiberia	Russia
