Sequencing_Panel	Sample_ID_Illumina	Sample_ID_Collaborator	Sample_ID_SGDP	Embargo_level	Sex	Population_ID	Region	Country
C	LP6005442-DNA_D01	HGDP01250	S_Xibo-1	X	XY	Xibo	EastAsia	China
C	LP6005443-DNA_C02	HGDP01246	S_Xibo-2	X	XY	Xibo	EastAsia	China
C	LP6005442-DNA_G01	HGDP01179	S_Yi-1	X	XY	Yi	EastAsia	China
C	LP6005442-DNA_H01	HGDP01188	S_Yi-2	X	XX	Yi	EastAsia	China
C	LP6005442-DNA_H04	lez49	S_Lezgin-1	X	Not Assigned	Lezgin	WestEurasia	Russia
C	LP6005441-DNA_B03	HGDP00660	S_Bougainville-1	X	XX	Bougainville	Oceania	PapuaNewGuinea
C	LP6005441-DNA_A03	HGDP00656	S_Bougainville-2	X	XX	Bougainville	Oceania	PapuaNewGuinea
C	LP6005519-DNA_F06	Dus22	S_Dusun-1	X	XX	Dusun	Oceania	Brunei
C	LP6005519-DNA_E06	Dus16	S_Dusun-2	X	XX	Dusun	Oceania	Brunei
C	LP6005592-DNA_H03	NA17385	S_Hawaiian-1	X	XY	Hawaiian	Oceania	USA
C	LP6005519-DNA_C06	Igor20	S_Igorot-1	X	XX	Igorot	Oceania	Philippines
C	LP6005519-DNA_D06	Igor21	S_Igorot-2	X	XY	Igorot	Oceania	Philippines
C	LP6005592-DNA_B02	NA17386	S_Maori-1	X	XY	Maori	Oceania	New Zealand
C	LP6005441-DNA_B10	HGDP00550	S_Papuan-1	X	XX	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_B08	HGDP00553	S_Papuan-10	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_C07	HGDP00555	S_Papuan-11	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_G07	HGDP00556	S_Papuan-12	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_D08	HGDP00552	S_Papuan-13	X	XX	Papuan	Oceania	PapuaNewGuinea
